district,img_url
Slotermeer-Zuidwest,https://data.amsterdam.nl/panorama/2017/05/09/TMX7316010203-000289/pano_0000_001368/equirectangular/panorama_2000.jpg
Lutkemeer/Ookmeer,https://data.amsterdam.nl/panorama/2017/05/09/TMX7316010203-000289/pano_0000_003006/equirectangular/panorama_2000.jpg
Eendracht,https://data.amsterdam.nl/panorama/2017/05/09/TMX7316010203-000289/pano_0000_003691/equirectangular/panorama_2000.jpg
Geuzenveld,https://data.amsterdam.nl/panorama/2017/05/09/TMX7316010203-000289/pano_0000_004517/equirectangular/panorama_2000.jpg
Slotermeer-Noordoost,https://data.amsterdam.nl/panorama/2017/05/10/TMX7316010203-000293/pano_0000_005246/equirectangular/panorama_2000.jpg
IJplein/Vogelbuurt,https://data.amsterdam.nl/panorama/2017/05/15/TMX7316010203-000296/pano_0000_000010/equirectangular/panorama_2000.jpg
Noordelijke IJ-oevers Oost,https://data.amsterdam.nl/panorama/2017/05/15/TMX7316010203-000296/pano_0000_001285/equirectangular/panorama_2000.jpg
Nieuwendammerdijk/Buiksloterdijk,https://data.amsterdam.nl/panorama/2017/05/15/TMX7316010203-000297/pano_0000_000639/equirectangular/panorama_2000.jpg
Tuindorp Buiksloot,https://data.amsterdam.nl/panorama/2017/05/15/TMX7316010203-000297/pano_0000_002633/equirectangular/panorama_2000.jpg
Buikslotermeer,https://data.amsterdam.nl/panorama/2017/05/15/TMX7316010203-000297/pano_0000_003296/equirectangular/panorama_2000.jpg
Tuindorp Nieuwendam,https://data.amsterdam.nl/panorama/2017/05/15/TMX7316010203-000297/pano_0000_003315/equirectangular/panorama_2000.jpg
Elzenhagen,https://data.amsterdam.nl/panorama/2017/05/16/TMX7316010203-000298/pano_0000_000168/equirectangular/panorama_2000.jpg
Waterlandpleinbuurt,https://data.amsterdam.nl/panorama/2017/05/16/TMX7316010203-000298/pano_0000_001573/equirectangular/panorama_2000.jpg
Banne Buiksloot,https://data.amsterdam.nl/panorama/2017/05/18/TMX7316010203-000301/pano_0000_004718/equirectangular/panorama_2000.jpg
Volewijck,https://data.amsterdam.nl/panorama/2017/05/18/TMX7316010203-000301/pano_0000_005083/equirectangular/panorama_2000.jpg
Noordelijke IJ-oevers West,https://data.amsterdam.nl/panorama/2017/05/18/TMX7316010203-000301/pano_0000_005754/equirectangular/panorama_2000.jpg
Kadoelen,https://data.amsterdam.nl/panorama/2017/05/23/TMX7316010203-000307/pano_0001_002570/equirectangular/panorama_2000.jpg
Tuindorp Oostzaan,https://data.amsterdam.nl/panorama/2017/05/26/TMX7316010203-000311/pano_0000_002749/equirectangular/panorama_2000.jpg
Oostzanerwerf,https://data.amsterdam.nl/panorama/2017/05/26/TMX7316010203-000311/pano_0000_007294/equirectangular/panorama_2000.jpg
Driemond,https://data.amsterdam.nl/panorama/2017/06/02/TMX7316010203-000324/pano_0000_000252/equirectangular/panorama_2000.jpg
"Bijlmer Centrum (D,F,H)",https://data.amsterdam.nl/panorama/2017/06/09/TMX7316010203-000332/pano_0001_009079/equirectangular/panorama_2000.jpg
Holendrecht/Reigersbos,https://data.amsterdam.nl/panorama/2017/06/12/TMX7316010203-000333/pano_0000_004248/equirectangular/panorama_2000.jpg
Vondelbuurt,https://data.amsterdam.nl/panorama/2017/07/07/TMX7316010203-000355/pano_0000_000077/equirectangular/panorama_2000.jpg
